Category,LULC,Coastal,Surveyor,Date,Notes,LULC_code,geometry
Roads,Settlement,Rubble,Nathaniel Lawevuso,2026-09-09,Near L64 building ,5.0,POINT Z (178.4524188244281 -18.149170876460676 0)
Other,Grassland,,Nathaniel Lawevuso,2026-09-09,Near the Fletcher road,3.0,POINT Z (178.45253234834524 -18.149058059413417 0)
Roads,Settlement,,Nathaniel Lawevuso,2026-09-09,Near Ln1 building ,5.0,POINT Z (178.45269347355293 -18.149360570056814 7.376897958107293)
,Grassland,Sediment,Nathaniel Lawevuso,2026-09-09,Under the palm tree beside the road,3.0,POINT Z (178.45280390012744 -18.149529864311756 6.953346071764827)
Drainage,Settlement,,Nathaniel Lawevuso,2026-09-09,Beside the tree,5.0,POINT Z (178.4529254447182 -18.14964700994943 8.648337364196777)
Commercial buildings  zones,Settlement,,Nathaniel Lawevuso,2026-09-09,L70 Building ,5.0,POINT Z (178.4527860315853 -18.149722185968308 0)
Biodiversity sites,Grassland,,Nathaniel Lawevuso,2026-09-09,Beside L70 building ,3.0,POINT Z (178.45268817401865 -18.14980989425448 0)
Other,Grassland,,Nathaniel Lawevuso,2026-09-09,Out in the field ,3.0,POINT Z (178.45254914726087 -18.149870536785738 7.904560145922005)
Other,Grassland,,Nathaniel Lawevuso,2026-09-09,Beside the drainage area,3.0,POINT Z (178.4524266091179 -18.14986936314311 6.543363669887185)
,Grassland,,Nathaniel Lawevuso,2026-09-09,,3.0,POINT Z (178.45234016318463 -18.14979837169895 7.077025624923408)
Other,Grassland,,Nathaniel Lawevuso,2026-09-09,Near The J containers ,3.0,POINT Z (178.45225307655855 -18.149712514437216 8.218188996426761)
,Grassland,Rubble,Nathaniel Lawevuso,2026-09-09,Mixtures of rocks grass in th area,3.0,POINT Z (178.45217954556725 -18.149650840642064 10.148212219588459)
,,,Kijiana ,2026-09-09,,,POINT Z (178.45406881 -18.15086495 63.29669189453125)
,Settlement,,Kijiana ,2026-09-09,,5.0,POINT Z (178.45428267999995 -18.15091756 63.4090576171875)
,Settlement,,Kijiana ,2026-09-09,,5.0,POINT Z (178.45417049999995 -18.15084637 64.61077880859375)
,Settlement,,Kijiana ,2026-09-09,,5.0,POINT Z (178.45406925999998 -18.15091307 64.380859375)
,Settlement,,Kijiana ,2026-09-09,,5.0,POINT Z (178.45400027 -18.15082794 64.235595703125)
,Settlement,,Kijiana ,2026-09-09,,5.0,POINT Z (178.45393931 -18.15070891 62.45831298828125)
,Settlement,,Kijiana ,2026-09-09,,5.0,POINT Z (178.45381756 -18.15067229 62.37677001953125)
,Settlement,,Kijiana ,2026-09-09,,5.0,POINT Z (178.45371602999998 -18.15064735 62.21368408203125)
,Settlement,,Kijiana ,2026-09-09,,5.0,POINT Z (178.45360826000004 -18.15072385999999 65.14801025390625)
,Settlement,,Kijiana ,2026-09-09,,5.0,POINT Z (178.45350669999996 -18.15073332 64.92877197265625)
,Settlement,,Kijiana ,2026-09-09,,5.0,POINT Z (178.45340098999998 -18.15073215 65.2877197265625)
,Settlement,,Kijiana ,2026-09-09,,5.0,POINT Z (178.45329466999996 -18.15072236 64.0035400390625)
,Settlement,,Kijiana ,2026-09-09,,5.0,POINT Z (178.45317263 -18.15070582 64.9527587890625)
,Forest,,Kijiana ,2026-09-09,,2.0,POINT Z (178.45254045999997 -18.15060911 64.16546630859375)
